planning_area,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 - $8,999","$9,000 - $9,999","$10,000 - 10,999","$11,000 - 11,999","$12,000 - $14,999","$15,000 & Over"
Ang Mo Kio,"6,306","14,367","10,414","10,210","8,320","7,022","5,489","4,291","3,392","2,598","2,637","1,905","3,237","6,309"
Bedok,"10,917","19,697","17,730","16,491","12,361","11,162","7,552","5,855","5,985","4,842","4,301","4,067","7,528","16,726"
Bishan,"2,910","4,713","3,635","4,386","4,276","3,930","3,308","2,651","2,692","1,890","1,835","1,525","3,253","6,458"
Bukit Batok,"5,589","12,060","11,316","11,626","9,087","7,371","5,860","5,152","4,041","3,221","2,636","2,145","4,288","6,088"
Bukit Merah,"5,897","11,943","8,123","7,825","6,249","6,411","4,718","4,132","3,552","2,802","2,806","2,318","4,404","7,522"
Bukit Panjang,"5,526","10,420","9,520","10,562","8,405","7,140","4,572","4,177","3,446","2,398","2,085","1,905","2,994","4,340"
Bukit Timah,"1,779","1,979","1,660","2,073","2,116","2,467","1,695","1,774","1,677","1,359","1,803","1,334","2,661","12,626"
Choa Chu Kang,"7,809","13,627","14,344","14,563","13,038","10,682","7,598","6,128","5,104","3,787","3,255","2,618","3,802","4,766"
Clementi,"2,962","5,558","4,702","4,203","3,911","3,848","3,182","2,648","2,293","2,038","1,925","1,422","3,153","5,764"
Downtown Core,86,61,133,73,129,124,75,75,96,88,77,62,174,707
Geylang,"4,374","9,738","8,060","7,549","5,681","4,562","3,488","2,561","2,191","2,007","1,953","1,407","2,836","4,653"
Hougang,"9,273","18,531","15,877","16,688","12,827","10,695","7,873","5,989","5,649","4,091","3,577","2,873","5,396","7,902"
Jurong East,"2,817","6,424","5,593","5,364","4,532","3,688","2,577","2,393","1,711","1,374","1,125",843,"1,465","2,018"
Jurong West,"10,288","20,539","20,398","21,789","17,754","14,433","10,063","7,255","6,010","4,563","3,428","2,323","4,617","5,326"
Kallang,"4,055","8,341","6,262","5,652","4,849","4,168","2,989","2,753","2,169","2,016","2,141","1,213","2,828","5,483"
Marine Parade,"1,336","1,867","1,868","1,956","1,507","1,558","1,108",817,823,861,976,728,"1,473","5,250"
Novena,"1,468","2,621","2,165","2,100","1,852","1,799","1,239","1,138","1,250",867,"1,032",594,"1,529","5,514"
Outram,833,"1,656","1,111",769,711,643,378,429,374,306,401,245,566,847
Pasir Ris,"5,604","8,239","9,396","10,370","8,790","7,826","5,773","4,549","3,966","3,592","3,184","2,385","4,308","6,743"
Punggol,"5,146","9,897","9,542","11,021","10,337","9,577","7,009","6,845","5,632","4,402","3,765","2,587","5,218","4,558"
Queenstown,"3,010","6,385","5,076","4,551","4,081","3,796","2,883","2,388","2,367","1,896","1,731","1,403","3,292","5,440"
River Valley,208,224,229,272,260,342,219,270,231,148,183,177,337,"2,272"
Sembawang,"3,791","6,653","7,743","8,024","6,915","5,857","4,614","3,438","2,850","2,037","1,754","1,435","2,237","2,161"
Sengkang,"8,651","17,230","15,393","16,130","15,469","12,751","11,198","8,471","7,626","5,497","5,482","3,875","6,995","6,648"
Serangoon,"3,740","7,518","6,247","6,299","5,600","5,431","3,878","3,426","3,052","2,427","2,490","1,674","3,627","8,149"
Tampines,"10,239","19,330","17,248","19,714","16,078","12,917","8,953","7,887","6,103","4,864","4,045","3,474","5,856","7,842"
Tanglin,344,335,383,487,383,612,387,427,487,325,501,326,809,"4,399"
Toa Payoh,"4,623","8,866","7,074","7,174","5,873","4,725","4,335","3,212","2,964","2,652","2,030","1,689","3,180","5,156"
Woodlands,"10,550","20,131","21,026","19,704","16,449","12,758","9,353","6,842","5,611","4,529","2,660","2,353","3,944","2,794"
Yishun,"7,834","17,867","18,736","16,675","13,441","11,615","8,184","6,424","5,009","3,872","2,973","2,222","3,320","4,025"